,stateid,percentage(obese),gender
513,AZ,28.8,Female
3985,VA,27.7,Male
5973,NE,31.7,Male
6859,MD,27.8,Male
7826,LA,34.0,Male
8076,NH,29.5,Male
9657,KS,31.5,Female
10642,AR,35.8,Male
11484,DC,19.5,Male
12420,VT,24.2,Female
15275,TN,30.5,Female
15672,NC,28.3,Male
15736,MD,31.3,Female
15945,MT,27.7,Male
16568,OH,32.5,Female
17270,MO,30.2,Male
17597,AL,34.1,Male
19228,NY,27.8,Male
19887,NY,26.2,Female
21952,NM,27.5,Male
22470,MI,30.9,Male
22823,HI,21.0,Female
32177,PR,29.6,Female
33092,US,28.8,Female
33250,PR,26.8,Male
33278,GU,29.0,Female
33344,US,29.0,Male
33485,GU,27.0,Male
33810,AR,36.0,Female
33874,TX,30.7,Female
34485,CT,26.0,Female
34859,HI,23.1,Male
35221,CA,25.4,Female
35612,DE,29.4,Male
35691,IN,33.0,Female
36812,IA,29.8,Female
36813,PA,29.1,Female
36896,MS,37.9,Female
36963,OK,33.5,Male
36980,AZ,29.1,Male
37213,NJ,28.5,Male
37450,MA,23.6,Male
37864,MO,30.2,Female
38030,WA,28.5,Male
38405,NV,29.9,Male
38555,UT,25.7,Male
39276,WI,30.5,Female
39361,WY,29.2,Female
39564,CA,24.0,Male
39813,ID,28.7,Male
40136,PA,31.2,Male
40249,OK,32.5,Female
40666,FL,26.6,Female
41329,UT,25.8,Female
41540,ND,34.7,Male
41663,MS,32.9,Male
41708,IA,32.0,Male
41899,AL,32.9,Female
43170,ND,29.5,Female
43208,GA,28.6,Male
44090,MT,24.9,Female
44829,NM,29.4,Female
45238,CT,26.5,Male
45326,KY,33.3,Male
45398,OR,27.1,Male
45661,IL,30.7,Female
46107,OR,28.7,Female
46215,KS,31.1,Male
46260,WI,31.8,Male
46426,NC,31.1,Female
46920,IN,32.5,Male
47079,RI,25.8,Female
47810,WV,36.0,Female
47843,NE,28.7,Female
48456,WV,35.3,Male
48880,ME,27.9,Male
49327,AK,30.2,Female
50281,MI,30.6,Female
50310,VA,29.3,Female
50747,SC,32.4,Female
51326,DE,31.9,Female
51545,SD,28.1,Female
51612,MA,23.0,Female
51899,RI,28.2,Male
52048,AK,29.3,Male
52505,TX,33.2,Male
52598,KY,29.9,Female
53479,MN,29.7,Male
53963,MN,25.4,Female
54333,CO,21.9,Male
55953,NH,25.3,Female
56441,OH,32.8,Male
56826,VT,25.3,Male
57138,NV,25.4,Female
57165,ME,28.5,Female
57299,LA,35.7,Female
57693,DC,23.7,Female
57800,IL,27.9,Male
57846,WA,26.0,Female
57936,SC,31.7,Male
58167,SD,31.5,Male
59624,NJ,25.3,Female
59692,TN,32.0,Male
60812,GA,32.4,Female
60930,FL,25.8,Male
61357,WY,29.7,Male
61579,ID,29.2,Female
62774,CO,20.7,Female
