,state,totalpopulation(census 2010),population(est 2014)
0,US,308745538,318301008
1,AL,4779736,4841799
2,AK,710231,736283
3,AZ,6392017,6730413
4,AR,2915918,2967392
5,CA,37253956,38596972
6,CO,5029196,5350101
7,CT,3574097,3594524
8,DE,897934,932487
9,DC,601723,662328
10,FL,18801310,19845911
11,GA,9687653,10067278
12,HI,1360301,1414538
13,ID,1567582,1631112
14,IL,12830632,12884493
15,IN,6483802,6593644
16,IA,3046355,3109350
17,KS,2853118,2900475
18,KY,4339367,4414349
19,LA,4533372,4644013
20,ME,1328361,1330513
21,MD,5773552,5957283
22,MA,6547629,6762596
23,MI,9883640,9929848
24,MN,5303925,5451079
25,MS,2967297,2990468
26,MO,5988927,6056202
27,MT,989415,1021869
28,NE,1826341,1879321
29,NV,2700551,2817628
30,NH,1316470,1333341
31,NJ,8791894,8864525
32,NM,2059179,2089568
33,NY,19378102,19651049
34,NC,9535483,9932887
35,ND,672591,737401
36,OH,11536504,11602700
37,OK,3751351,3878187
38,OR,3831074,3963244
39,PA,12702379,12788313
40,RI,1052567,1055936
41,SC,4625364,4823617
42,SD,814180,849129
43,TN,6346105,6541223
44,TX,25145561,26964333
45,UT,2763885,2936879
46,VT,625741,625214
47,VA,8001024,8310993
48,WA,6724540,7054655
49,WV,1852994,1849489
50,WI,5686986,5751525
51,WY,563626,582531
52,PR,3725789,3534874
