year,stateabbr,statename,cityname,obesitypercentage,Population2010,latitude,longitude
2014,ID,Idaho,Boise City,23.8,5604,43.59,-116.1808353
2014,ID,Idaho,Boise City,28.3,5382,43.60,-116.2436089
2014,ID,Idaho,Boise City,27.6,979,43.61,-116.3369384
2014,ID,Idaho,Boise City,29,5746,43.61,-116.2593995
2014,ID,Idaho,Boise City,27.2,6328,43.67,-116.2645318
2014,ID,Idaho,Boise City,29.1,3897,43.62,-116.2077224
2014,ID,Idaho,Boise City,22.1,3158,43.58,-116.1571377
2014,ID,Idaho,Boise City,26,6391,43.62,-116.2611644
2014,ID,Idaho,Boise City,26.6,8245,43.65,-116.3245677
2014,ID,Idaho,Boise City,28.1,5278,43.63,-116.3042486
2014,ID,Idaho,Boise City,23.3,5397,43.58,-116.1841907
2014,ID,Idaho,Boise City,23.8,2830,43.63,-116.1845075
2014,ID,Idaho,Boise City,23.1,3112,43.59,-116.1479688
2014,ID,Idaho,Boise City,26.3,9313,43.62,-116.3243437
2014,ID,Idaho,Boise City,26.2,3494,43.59,-116.218329
2014,ID,Idaho,Boise City,23.4,11733,43.65,-116.3464793
2014,ID,Idaho,Boise City,28.7,5936,43.64,-116.2345846
2014,ID,Idaho,Boise City,24.1,88,43.55,-116.2170915
2014,ID,Idaho,Boise City,23.6,1416,43.58,-116.1283201
2014,ID,Idaho,Boise City,22.1,4686,43.61,-116.1807282
2014,ID,Idaho,Boise City,27.5,5715,43.58,-116.2223598
2014,ID,Idaho,Boise City,25.5,3484,43.63,-116.2662403
2014,ID,Idaho,Boise City,25.8,205671,43.60,-116.2308852
2014,ID,Idaho,Boise City,25.2,5269,43.64,-116.3042422
2014,ID,Idaho,Boise City,22.5,5181,43.66,-116.2166713
2014,ID,Idaho,Boise City,26.2,4485,43.58,-116.23767
2014,ID,Idaho,Boise City,26.4,7852,43.62,-116.284774
2014,ID,Idaho,Boise City,23.1,6400,43.56,-116.1413563
2014,ID,Idaho,Boise City,26.6,4167,43.58,-116.2049806
2014,ID,Idaho,Boise City,25.8,446,43.64,-116.3564408
2014,ID,Idaho,Boise City,26.3,5997,43.61,-116.2280753
2014,ID,Idaho,Boise City,25.1,1742,43.68,-116.2836325
2014,ID,Idaho,Boise City,24.5,4354,43.57,-116.1619882
2014,ID,Idaho,Boise City,24.4,5446,43.63,-116.2044881
2014,ID,Idaho,Boise City,25.3,6988,43.65,-116.2929159
2014,ID,Idaho,Boise City,27.5,5070,43.59,-116.2678247
2014,ID,Idaho,Boise City,25.6,205671,43.60,-116.2308852
2014,ID,Idaho,Boise City,23.8,910,43.59,-116.3369567
2014,ID,Idaho,Boise City,22.6,1214,43.65,-116.2559492
2014,ID,Idaho,Boise City,26.1,5392,43.59,-116.2957342
2014,ID,Idaho,Boise City,22.6,3289,43.53,-116.1453573
2014,ID,Idaho,Boise City,25.5,5760,43.60,-116.2000002
2014,ID,Idaho,Boise City,24.8,3993,43.61,-116.3042273
2014,ID,Idaho,Boise City,24.4,4211,43.59,-116.324295
